@relation openSMILE_features

@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute emotion {1,2,3,4,5,6}

@data

2.397930e+01,5.292906e-02,2.408153e+01,2.445085e+01,2.471983e+01,6.383038e-01,-2.592826e+01,0.000000e+00,3.222578e+00,0.000000e+00,1.979760e-01,7.016049e-01,1.447389e-01,1.542385e-01,1.716109e-01,2.687198e-02,3.214121e+00,3.639955e+00,3.931546e+00,1.288342e+00,4.651278e-02,1.087868e+00,2.173508e+01,1.573711e-01,1.319360e+00,3.365551e+00,2.165431e+00,3.374143e+00,5.281056e+00,6.485882e-01,1.659415e-02,6.669751e-01,1.447348e+00,6.403642e-01,4.270605e+00,4.234562e-01,-3.480957e+00,-1.510038e+00,1.224432e+01,6.229993e-01,6.875109e+02,3.202666e-01,1.532200e+03,1.269707e-01,-1.896452e+02,-2.362604e-01,1.624109e+03,8.201444e-02,1.022646e+03,1.311295e-01,-1.900381e+02,-2.272193e-01,2.531027e+03,6.500782e-02,9.600114e+02,2.057362e-01,-1.900843e+02,-2.266620e-01,-8.809246e+00,-6.234492e-01,1.733633e+01,1.331823e-01,5.453599e-02,4.297241e-01,-1.138508e-02,-5.366769e-01,1.804545e-01,2.825570e-01,2.495354e+01,1.727698e-01,-4.634209e+00,-2.010452e+00,2.063356e+01,8.112671e-01,3.548844e+00,1.043977e+00,-8.270458e+00,1.852176e+01,2.544258e-02,4.827227e-03,3.866424e-02,5.454546e-01,3.669725e-01,1.450000e-01,1.050000e-01,1.703333e+00,1.253537e+00,-3.858846e+01,1
2.511652e+01,3.689456e-02,2.426556e+01,2.521765e+01,2.575736e+01,1.491804e+00,1.244502e+01,3.596637e+00,2.528355e+01,1.716851e+01,2.620971e-01,9.457659e-01,1.463114e-01,1.631423e-01,3.381562e-01,1.918448e-01,5.590220e+00,3.741267e+00,3.968693e+00,2.534799e+00,6.365811e-02,1.235726e+00,2.098975e+01,3.694203e-01,-7.885276e-01,-9.045008e+00,3.611466e-01,1.403080e+01,3.290818e+00,1.865502e+00,1.646052e-02,1.058200e+00,1.676850e+00,8.330098e-01,4.311554e+00,4.168223e-01,2.418759e+00,2.829710e+00,1.357103e+01,9.372100e-01,6.454054e+02,3.035503e-01,1.618023e+03,1.428620e-01,-1.724803e+02,-3.994185e-01,1.486872e+03,9.716280e-02,1.235220e+03,1.074704e-01,-1.720923e+02,-4.008626e-01,2.427892e+03,5.660757e-02,1.001302e+03,2.721325e-01,-1.736333e+02,-3.764169e-01,-6.219485e+00,-9.326146e-01,2.033241e+01,3.337972e-01,4.997637e-02,2.630161e-01,-7.327013e-03,-1.436040e+00,2.081935e-01,5.560991e-01,2.869381e+01,2.098870e-01,-1.001838e+01,-1.275358e+00,-1.166069e+00,-6.318357e+00,-1.698197e-01,-6.911020e+01,-7.290452e+00,1.715905e+01,2.925556e-02,7.255860e-03,4.115989e-02,1.102941e+00,5.565863e-01,2.500000e-01,1.699019e-01,1.142500e+00,9.585242e-01,-3.508844e+01,1
2.641807e+01,1.260357e-01,2.398408e+01,2.552957e+01,2.724169e+01,3.257614e+00,3.619582e+01,8.695265e+00,2.971301e+01,2.478932e+01,2.447455e-01,7.235065e-01,1.541277e-01,1.635236e-01,3.255553e-01,1.714277e-01,3.463717e+00,1.889088e+00,4.814605e+00,3.500159e+00,6.960452e-02,1.121387e+00,2.340345e+01,2.513994e-01,1.899290e+00,2.546425e+00,2.800764e+00,2.156779e+00,2.854648e+00,2.313457e+00,4.099814e-02,1.938565e+00,1.405442e+00,5.234762e-01,3.878985e+00,5.846838e-01,4.036040e+00,1.484072e+00,2.301247e+01,2.749423e-01,7.255098e+02,2.754407e-01,1.595117e+03,1.754060e-01,-1.706592e+02,-4.053675e-01,1.523808e+03,1.028070e-01,1.319977e+03,3.237107e-01,-1.710424e+02,-3.971488e-01,2.439079e+03,5.844728e-02,9.479516e+02,1.884861e-01,-1.724164e+02,-3.755215e-01,-1.108550e+01,-3.959377e-01,2.285011e+01,2.066469e-01,4.731373e-02,2.890781e-01,-5.943234e-03,-2.005277e+00,1.851925e-01,5.895682e-01,3.009078e+01,1.962907e-01,-2.629394e-01,-2.850918e+01,6.009916e+00,1.359919e+00,-2.463300e+00,-4.827011e+00,-9.170609e+00,1.911674e+01,2.645781e-02,1.738386e-03,4.897154e-02,1.369863e+00,6.908463e-01,2.175000e-01,3.190905e-01,9.660000e-01,8.979666e-01,-3.575395e+01,1
2.116463e+01,1.908712e-02,2.079468e+01,2.133921e+01,2.142498e+01,6.303005e-01,7.602084e+00,3.439562e+00,1.166923e+01,2.655745e-01,1.766291e-01,3.705860e-01,1.484031e-01,1.565813e-01,1.701745e-01,2.177139e-02,2.139244e+00,1.812807e+00,1.163914e+00,1.067017e+00,3.893049e-02,5.832089e-01,2.219407e+01,1.697413e-01,3.196478e+00,1.010058e+00,1.264047e+00,3.179175e+00,3.615719e+00,1.035595e+00,1.980445e-02,7.025208e-01,1.387064e+00,5.415234e-01,2.679088e+00,4.989381e-01,-3.334787e+00,-7.846017e-01,2.191942e+01,2.479480e-01,6.784543e+02,1.766543e-01,1.534277e+03,7.991906e-02,-1.913762e+02,-2.196245e-01,1.635449e+03,3.454908e-02,1.108898e+03,1.402160e-01,-1.917431e+02,-2.105497e-01,2.521521e+03,4.228485e-02,1.035895e+03,1.300335e-01,-1.921290e+02,-2.013770e-01,-1.389318e+01,-1.768666e-01,2.364820e+01,1.437674e-01,4.655479e-02,4.443765e-01,-1.573695e-02,-5.074896e-01,1.051435e-01,4.408885e-01,2.953025e+01,4.660648e-02,1.218910e+00,4.508003e+00,1.220993e+01,3.525709e-01,-2.844033e+00,-1.957629e+00,-9.002834e+00,1.920567e+01,2.428580e-02,2.595806e-03,3.564708e-02,9.630818e-01,1.618123e-01,2.900000e-01,0.000000e+00,2.930000e+00,6.500000e-01,-4.330762e+01,1
2.598223e+01,1.444386e-01,2.351179e+01,2.554715e+01,2.612785e+01,2.616053e+00,5.695248e+01,5.064255e+01,8.348734e+01,3.086361e+00,2.702505e-01,1.024885e+00,1.471143e-01,1.662849e-01,2.767289e-01,1.296147e-01,6.595955e+00,4.878695e+00,5.850521e+00,2.632579e+00,7.576951e-02,1.441855e+00,2.150194e+01,2.528072e-01,-9.336764e-01,-6.926978e+00,2.222967e-01,2.358532e+01,3.540191e+00,1.664896e+00,5.344744e-02,1.576009e+00,1.975026e+00,5.494781e-01,1.659528e+00,1.216862e+00,3.050576e+00,1.612769e+00,1.487273e+01,4.816226e-01,8.236051e+02,1.797438e-01,1.471506e+03,1.311302e-01,-1.754126e+02,-3.720964e-01,1.583685e+03,1.007026e-01,1.442756e+03,2.461990e-01,-1.749893e+02,-3.767318e-01,2.458757e+03,5.775905e-02,1.010362e+03,2.007011e-01,-1.763007e+02,-3.551514e-01,-3.827218e+00,-1.138543e+00,1.692691e+01,2.392685e-01,5.082161e-02,2.682256e-01,-3.634708e-03,-2.198780e+00,3.161642e-01,3.927599e-01,2.548729e+01,1.588414e-01,-1.187356e+01,-6.382064e-01,-2.519503e+00,-3.482640e+00,-3.709301e+00,-2.355879e+00,-7.807198e+00,1.804592e+01,2.869645e-02,7.492673e-03,4.183577e-02,1.102941e+00,5.565863e-01,2.233333e-01,8.259674e-02,1.162500e+00,1.121102e+00,-3.364254e+01,1
2.507193e+01,4.988711e-02,2.442381e+01,2.518400e+01,2.587418e+01,1.450369e+00,2.598020e+01,1.680324e+01,-7.113063e-01,1.082192e+01,2.447107e-01,8.652402e-01,1.476263e-01,1.574614e-01,2.927747e-01,1.451484e-01,4.602008e+00,4.176077e+00,4.096028e+00,2.290320e+00,7.200809e-02,1.462348e+00,2.259842e+01,3.759289e-01,3.068191e+00,1.576298e+00,6.916953e-01,9.068715e+00,2.566632e+00,2.832416e+00,2.025860e-02,1.008407e+00,9.995371e-01,5.750853e-01,4.196251e+00,6.014745e-01,3.541295e+00,1.902301e+00,2.450086e+01,2.717073e-01,7.904970e+02,2.313000e-01,1.455761e+03,1.446171e-01,-1.686442e+02,-4.276058e-01,1.631667e+03,1.172381e-01,1.385752e+03,4.414852e-01,-1.690960e+02,-4.128993e-01,2.585978e+03,8.277795e-02,1.064786e+03,3.548790e-01,-1.706702e+02,-3.886551e-01,-1.129608e+01,-5.092056e-01,2.517366e+01,1.431904e-01,4.112742e-02,6.004552e-01,-1.352045e-02,-8.560609e-01,2.287703e-01,7.638375e-01,3.321645e+01,1.753123e-01,5.786613e-01,1.370983e+01,-8.163292e-01,-1.286769e+01,-6.070464e+00,-1.994653e+00,-8.643873e+00,1.875691e+01,2.901501e-02,6.455436e-03,4.230716e-02,1.158301e+00,5.847953e-01,2.766666e-01,3.209707e-01,1.057500e+00,1.085158e+00,-3.365158e+01,1
2.939357e+01,1.872968e-01,2.510504e+01,2.680254e+01,3.755012e+01,1.244508e+01,1.653075e+02,9.378898e+01,7.907092e+01,8.428180e+01,2.768318e-01,1.031968e+00,1.454434e-01,1.517758e-01,3.344662e-01,1.890227e-01,7.610396e+00,3.512878e+00,7.494792e+00,4.165231e+00,8.242574e-02,1.514929e+00,2.130064e+01,2.351814e-01,1.705354e+00,3.790628e+00,-1.684813e+00,-2.861180e+00,1.916781e+00,3.624002e+00,9.236343e-02,1.280055e+00,1.744817e+00,4.286968e-01,1.581395e+00,1.894026e+00,2.192697e+00,3.223719e+00,1.778700e+01,3.998930e-01,7.828746e+02,2.003340e-01,1.619798e+03,1.630386e-01,-1.754850e+02,-3.704145e-01,1.525378e+03,8.698421e-02,1.263474e+03,1.770984e-01,-1.747719e+02,-3.743613e-01,2.525977e+03,4.568183e-02,8.454064e+02,1.711246e-01,-1.764987e+02,-3.461936e-01,-4.548211e+00,-8.932413e-01,1.909512e+01,2.615450e-01,5.366294e-02,2.465300e-01,-4.737174e-03,-2.410729e+00,3.425993e-01,4.497722e-01,2.281677e+01,3.277788e-01,-5.189848e+00,-2.038453e+00,-9.611197e+00,-6.272815e-01,-1.074904e+01,-6.882782e-01,-8.384246e+00,1.862976e+01,2.704715e-02,3.313560e-03,4.395821e-02,1.254480e+00,7.233273e-01,1.725000e-01,1.434181e-01,9.500000e-01,1.124473e+00,-3.286738e+01,1
2.331485e+01,1.889002e-01,2.026794e+01,2.220067e+01,2.579195e+01,5.524015e+00,1.850569e+02,1.270560e+02,2.782491e+01,0.000000e+00,2.411023e-01,6.475968e-01,1.535799e-01,1.616198e-01,3.172845e-01,1.637046e-01,4.262263e+00,2.831106e+00,2.959709e+00,1.949920e+00,6.021885e-02,1.112550e+00,2.051438e+01,3.914761e-01,1.970433e+00,3.072096e+00,1.806279e+00,4.274930e+00,2.235906e+00,3.380683e+00,3.550832e-02,2.101200e+00,1.529834e+00,5.815354e-01,3.494571e+00,4.378461e-01,2.586843e+00,3.371389e+00,2.256219e+01,2.515736e-01,7.287733e+02,1.922518e-01,1.607252e+03,1.379254e-01,-1.742958e+02,-3.829406e-01,1.600387e+03,5.793955e-02,1.238603e+03,2.479779e-01,-1.741644e+02,-3.780891e-01,2.487833e+03,5.082834e-02,1.106459e+03,5.077296e-01,-1.752881e+02,-3.593530e-01,-9.629298e+00,-5.181999e-01,2.125589e+01,2.560694e-01,3.353535e-02,4.338598e-01,-8.882863e-03,-1.312302e+00,1.496825e-01,6.537400e-01,2.931243e+01,1.773758e-01,-2.144451e+00,-2.997850e+00,7.906136e+00,1.957219e+00,-2.909192e-01,-4.586523e+01,-7.406869e+00,1.701707e+01,2.861056e-02,2.309206e-03,4.629472e-02,1.730104e+00,5.235602e-01,2.533333e-01,1.552060e-01,1.225000e+00,1.120100e+00,-3.746339e+01,1
2.454616e+01,2.387823e-02,2.381968e+01,2.490106e+01,2.504591e+01,1.226233e+00,1.098696e+01,0.000000e+00,1.822238e+00,4.187950e+00,1.866236e-01,5.788342e-01,1.455141e-01,1.533825e-01,1.777900e-01,3.227593e-02,2.118762e+00,1.675734e+00,1.605443e+00,1.002026e+00,4.296663e-02,9.797048e-01,2.085792e+01,2.794965e-01,2.205508e+00,1.724322e+00,-1.847465e-01,-2.493907e+01,1.815359e+00,4.178968e+00,2.413229e-02,4.088801e-01,1.348280e+00,4.161080e-01,2.749660e+00,5.316705e-01,-2.559139e-01,-1.260560e+01,2.168889e+01,2.208846e-01,7.062352e+02,2.273141e-01,1.622574e+03,1.741998e-01,-1.851052e+02,-2.811539e-01,1.477411e+03,1.062740e-01,1.253720e+03,1.221569e-01,-1.858043e+02,-2.677311e-01,2.505486e+03,6.241797e-02,8.665918e+02,2.457258e-01,-1.867831e+02,-2.487125e-01,-9.243786e+00,-6.439815e-01,2.282384e+01,2.728039e-01,4.230941e-02,4.339022e-01,-1.877625e-02,-7.515052e-01,1.588288e-01,4.122770e-01,2.961565e+01,2.456419e-01,2.606756e+00,1.551041e+00,-1.957568e+00,-3.950639e+00,-1.555954e+01,-9.519886e-01,-8.153079e+00,1.770220e+01,2.801868e-02,5.541532e-03,3.418513e-02,9.652510e-01,5.847953e-01,1.266667e-01,6.128259e-02,1.170000e+00,1.197142e+00,-4.070320e+01,1
