@relation openSMILE_features

@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute emotion {1,2,3,4,5,6}

@data

2.554642e+01,6.969111e-04,2.553810e+01,2.555121e+01,2.556221e+01,2.411079e-02,1.205635e+00,0.000000e+00,-8.044243e-01,1.372032e+00,2.197259e-01,4.378403e-01,1.690295e-01,1.768308e-01,2.499898e-01,8.096030e-02,2.167374e+00,2.410619e+00,7.462758e-01,5.730159e-01,4.498154e-02,6.711943e-01,1.867940e+01,2.425388e-01,-3.477666e+00,-1.423469e+00,7.246568e-01,7.873546e+00,-5.233936e-01,-1.603097e+01,4.545829e-02,2.499657e-01,2.324085e+00,2.509532e-01,2.325627e+00,3.387733e-01,3.705372e+00,9.389499e-02,9.597557e+00,4.106240e-01,6.994349e+02,4.581688e-02,1.517681e+03,5.358284e-02,-1.975012e+02,-1.238943e-01,1.608105e+03,1.110194e-02,1.253024e+03,6.005369e-02,-1.974150e+02,-1.267238e-01,2.431398e+03,3.924499e-02,1.121775e+03,3.412878e-01,-1.976429e+02,-1.181471e-01,2.041859e+00,4.491359e-01,1.331078e+01,9.804574e-02,2.322777e-02,1.639424e-01,1.365584e-02,1.308920e-01,1.340093e-01,5.567462e-02,2.272981e+01,2.572428e-02,-1.818113e+01,-8.974169e-02,-7.148661e+00,-1.618220e-01,1.636522e+01,1.766616e-01,-5.043355e+00,1.449087e+01,3.137957e-02,7.292047e-03,4.373655e-02,9.925559e-01,2.512563e-01,6.000000e-02,0.000000e+00,1.945000e+00,1.150000e-01,-4.349865e+01,1
2.523072e+01,2.710074e-02,2.445290e+01,2.523215e+01,2.592381e+01,1.470917e+00,0.000000e+00,0.000000e+00,-1.671562e-01,0.000000e+00,1.945499e-01,2.507571e-01,1.643399e-01,1.742454e-01,2.215457e-01,5.720578e-02,1.628712e+00,1.494779e+00,7.826049e-01,7.395415e-01,4.046857e-02,4.785527e-01,1.966008e+01,2.674655e-01,-1.462379e-01,-2.769370e+01,2.106002e+00,3.078365e+00,1.746698e-01,2.641769e+01,9.842907e-03,9.797516e-01,1.317151e+00,2.580309e-01,3.413050e+00,1.099917e-01,1.487083e+00,1.223864e+00,1.983098e+01,1.167543e-01,6.751949e+02,3.102047e-01,1.618484e+03,8.816601e-02,-1.964585e+02,-1.433817e-01,1.602492e+03,7.260446e-02,1.197743e+03,2.784147e-01,-1.966414e+02,-1.372682e-01,2.497039e+03,2.435180e-02,9.412518e+02,1.071086e-01,-1.966812e+02,-1.361316e-01,-9.040122e+00,-4.330062e-01,1.338478e+01,3.618167e-01,4.690259e-02,7.322728e-02,-2.851994e-03,-1.724232e+00,7.435891e-02,2.326337e-01,2.207802e+01,2.581360e-01,-1.054596e+00,-3.338071e+00,2.118513e+01,1.831001e-01,4.101683e+00,5.823246e-01,-6.813124e+00,1.617099e+01,3.468293e-02,6.055069e-03,3.988858e-02,2.306080e+00,2.118644e-01,9.999999e-02,0.000000e+00,2.295000e+00,7.500000e-02,-4.545397e+01,1
2.491392e+01,4.452654e-02,2.389165e+01,2.480929e+01,2.580272e+01,1.911076e+00,2.947585e+01,1.667270e+01,9.374390e-01,1.158722e+01,1.904565e-01,3.701890e-01,1.630106e-01,1.717893e-01,2.252331e-01,6.222250e-02,1.414955e+00,9.977963e-01,1.162932e+00,8.451526e-01,3.702970e-02,4.562487e-01,1.917848e+01,3.620674e-01,3.835450e-01,9.460299e+00,2.432494e+00,1.893963e+00,-1.194343e+00,-4.292462e+00,1.566913e-02,8.246725e-01,1.144130e+00,5.559102e-01,3.621609e+00,3.016784e-01,3.419439e+00,1.062717e+00,2.227735e+01,2.364263e-01,8.006384e+02,1.379876e-01,1.441545e+03,9.669349e-02,-1.685044e+02,-4.217861e-01,1.628591e+03,5.492276e-02,1.256248e+03,1.140107e-01,-1.699106e+02,-3.998639e-01,2.558121e+03,4.090928e-02,9.047676e+02,1.404449e-01,-1.708143e+02,-3.862670e-01,-1.121072e+01,-3.192030e-01,2.167508e+01,1.612246e-01,2.759188e-02,4.719473e-01,-6.679355e-04,-1.621724e+01,5.453641e-02,2.508393e-01,2.551744e+01,1.714470e-01,2.509795e+00,1.838557e+00,6.483188e+00,1.017844e+00,-3.010535e+00,-2.884187e+00,-6.758312e+00,1.536579e+01,3.632921e-02,7.962375e-03,3.534989e-02,1.273885e+00,8.583691e-01,1.825000e-01,9.256754e-02,7.680000e-01,7.851726e-01,-4.499034e+01,1
2.458374e+01,6.407970e-02,2.344987e+01,2.374216e+01,2.629417e+01,2.844297e+00,1.199009e+02,1.122675e+02,2.144225e+01,1.795397e+01,2.475037e-01,5.349433e-01,1.687630e-01,1.831340e-01,3.555612e-01,1.867982e-01,2.517483e+00,1.563692e+00,2.420558e+00,1.913358e+00,5.918165e-02,8.869113e-01,1.856954e+01,3.699730e-01,-2.130604e+00,-2.557803e+00,-1.760987e+00,-4.244812e+00,-2.059804e+00,-5.180178e+00,1.402256e-02,5.597792e-01,1.888404e+00,3.712415e-01,1.735367e+00,8.922698e-01,6.385230e+00,5.914778e-01,2.128915e+01,1.398166e-01,8.148351e+02,2.026538e-01,1.498885e+03,1.472259e-01,-1.862557e+02,-2.671801e-01,1.552197e+03,8.235235e-02,1.512025e+03,5.069156e-01,-1.867033e+02,-2.584808e-01,2.549875e+03,6.317645e-02,8.255372e+02,1.927801e-01,-1.873019e+02,-2.465491e-01,-4.765193e+00,-1.037824e+00,1.939559e+01,1.902842e-01,4.015932e-02,2.958066e-01,-4.874047e-03,-4.232553e+00,1.404040e-01,5.391949e-01,2.359764e+01,2.254685e-01,-2.779675e+00,-1.646313e+00,-6.836620e+00,-1.280569e+00,-1.337292e+01,-1.497536e+00,-5.086706e+00,1.616074e+01,3.915722e-02,7.134463e-03,5.439879e-02,2.059497e+00,9.259260e-01,6.750000e-02,4.763140e-02,7.919999e-01,7.117135e-01,-3.996527e+01,1
2.640772e+01,4.299129e-02,2.494377e+01,2.679573e+01,2.758645e+01,2.642685e+00,1.046589e+01,0.000000e+00,-5.414248e-01,0.000000e+00,1.939647e-01,2.776955e-01,1.610548e-01,1.680144e-01,2.265000e-01,6.544527e-02,6.022373e-01,3.062485e-01,9.074179e-01,7.405912e-01,3.755369e-02,4.200083e-01,1.907601e+01,3.439642e-01,1.291685e+00,3.650699e+00,1.821798e+00,3.004864e+00,-1.322327e+00,-5.063517e+00,1.798402e-02,1.063998e+00,1.445984e+00,5.343418e-01,3.957617e+00,3.185558e-01,3.630287e+00,1.368270e+00,2.212416e+01,1.128140e-01,7.638078e+02,1.257645e-01,1.445608e+03,9.010699e-02,-1.820186e+02,-3.149969e-01,1.592661e+03,6.330256e-02,1.247249e+03,9.914649e-02,-1.830527e+02,-2.957567e-01,2.549231e+03,4.172436e-02,8.869305e+02,1.576188e-01,-1.835916e+02,-2.861066e-01,-1.074580e+01,-2.735087e-01,1.913979e+01,1.435924e-01,2.955633e-02,4.034914e-01,-7.043007e-03,-2.474840e+00,5.844025e-02,2.001548e-01,2.648369e+01,1.179778e-01,2.295541e+00,1.411261e+00,6.854641e+00,1.309043e+00,-1.174475e+01,-9.665112e-01,-7.019741e+00,1.519682e+01,3.368342e-02,5.206760e-03,3.564243e-02,1.758794e+00,2.544529e-01,3.700000e-01,0.000000e+00,1.765000e+00,1.500000e-02,-4.534896e+01,1
2.624297e+01,3.350539e-02,2.523897e+01,2.640594e+01,2.703889e+01,1.799917e+00,5.794974e+01,3.403801e+01,5.553734e+01,7.308671e+01,1.936826e-01,2.946837e-01,1.632253e-01,1.714784e-01,2.201909e-01,5.696565e-02,1.681701e+00,2.153134e+00,1.823023e+00,2.134136e+00,3.730127e-02,5.104102e-01,1.871091e+01,2.705045e-01,1.197158e+00,4.994846e+00,4.669833e+00,1.235146e+00,9.964248e-01,5.771399e+00,3.597545e-02,7.780854e-01,1.753661e+00,4.862185e-01,2.931543e+00,3.557595e-01,2.440732e+00,2.736290e+00,2.081115e+01,2.217373e-01,8.307472e+02,1.493096e-01,1.475656e+03,8.424241e-02,-1.815974e+02,-2.998870e-01,1.660002e+03,7.858582e-02,1.336312e+03,2.529516e-01,-1.822153e+02,-2.896920e-01,2.579700e+03,3.470164e-02,8.927722e+02,1.102033e-01,-1.823382e+02,-2.876649e-01,-1.132807e+01,-1.380129e-01,2.042734e+01,1.461913e-01,2.823051e-02,4.030115e-01,4.549838e-04,1.306077e+01,5.507005e-02,2.318512e-01,2.005291e+01,2.886207e-01,9.654174e+00,7.322266e-01,1.239414e+01,7.974581e-01,-2.803731e+00,-2.008954e+00,-6.868513e+00,1.512964e+01,2.953127e-02,6.190631e-03,3.565665e-02,1.627907e+00,9.411765e-01,9.999999e-02,7.348469e-02,7.520000e-01,6.510422e-01,-4.525570e+01,1
2.411023e+01,3.173303e-02,2.350469e+01,2.383467e+01,2.510386e+01,1.599169e+00,1.103722e+01,0.000000e+00,6.134355e+00,5.934909e+00,2.248913e-01,5.128559e-01,1.658898e-01,1.747445e-01,2.852636e-01,1.193738e-01,1.447840e+00,1.410797e+00,1.400547e+00,1.173099e+00,4.835454e-02,7.831309e-01,1.855912e+01,3.140997e-01,-1.166174e+00,-5.144080e+00,3.719365e+00,1.846125e+00,1.264299e+00,5.022036e+00,1.934399e-02,5.640057e-01,1.289713e+00,2.256907e-01,2.085186e+00,4.074095e-01,3.374015e+00,9.421941e-01,1.580838e+01,6.092616e-01,7.216349e+02,1.690543e-01,1.540685e+03,1.469714e-01,-1.899581e+02,-2.232511e-01,1.549886e+03,7.549444e-02,1.247706e+03,8.822461e-02,-1.899103e+02,-2.249803e-01,2.433249e+03,6.291129e-02,1.031811e+03,1.709571e-01,-1.904630e+02,-2.128093e-01,-3.827022e+00,-1.726050e+00,1.657710e+01,2.735340e-01,2.908651e-02,4.946459e-01,6.074514e-03,7.684337e-01,1.164927e-01,5.699440e-01,2.364146e+01,1.349116e-01,-8.357380e+00,-1.555326e+00,2.733707e+00,3.249521e+00,7.007152e+00,1.015034e+00,-6.213777e+00,1.465841e+01,2.974980e-02,5.471233e-03,4.480980e-02,9.302326e-01,7.058824e-01,7.000000e-02,2.160247e-02,9.925000e-01,8.939344e-01,-4.209711e+01,1
2.523350e+01,2.954709e-02,2.449814e+01,2.521775e+01,2.598442e+01,1.486284e+00,1.256935e+02,9.104767e+01,6.671560e+00,8.499113e+00,2.117181e-01,4.586439e-01,1.652759e-01,1.727293e-01,2.734506e-01,1.081747e-01,1.691142e+00,1.433279e+00,1.225433e+00,8.612944e-01,4.119133e-02,5.923692e-01,1.737339e+01,4.267914e-01,1.942436e-02,2.289112e+02,3.009130e+00,1.796269e+00,2.049152e-01,3.033702e+01,2.919697e-02,5.423571e-01,1.451085e+00,6.384258e-01,2.143303e+00,6.671161e-01,-5.034477e-01,-6.605203e+00,1.432652e+01,5.352342e-01,7.387700e+02,2.010380e-01,1.604461e+03,1.201860e-01,-1.860321e+02,-2.677675e-01,1.556408e+03,8.165693e-02,1.234971e+03,1.400913e-01,-1.863647e+02,-2.617743e-01,2.493795e+03,5.996514e-02,8.773819e+02,2.370796e-01,-1.867430e+02,-2.543102e-01,-6.451296e+00,-7.765347e-01,1.507257e+01,3.201364e-01,4.575066e-02,2.480334e-01,-1.928138e-03,-3.198222e+00,9.903510e-02,2.120686e-01,2.142639e+01,1.909452e-01,-3.077671e+00,-2.724233e+00,6.597045e+00,1.220266e+00,-2.504143e+00,-4.342778e+00,-6.173058e+00,1.433608e+01,3.391912e-02,7.521581e-03,3.767042e-02,1.449275e+00,7.334964e-01,9.333333e-02,3.299832e-02,9.350000e-01,8.514252e-01,-4.372784e+01,1
2.624033e+01,1.452016e-02,2.586663e+01,2.617246e+01,2.665454e+01,7.879124e-01,8.734541e+01,2.109594e+01,7.095104e+00,1.144003e+01,1.907013e-01,2.948689e-01,1.650365e-01,1.746923e-01,2.179969e-01,5.296037e-02,9.264645e-01,8.926234e-01,9.222850e-01,6.345879e-01,4.244465e-02,5.576109e-01,2.003378e+01,3.258771e-01,1.106266e+00,4.642029e+00,3.681838e+00,1.422782e+00,-8.859529e-01,-5.269886e+00,2.624637e-02,1.133551e+00,1.404369e+00,5.982463e-01,4.912230e+00,4.348200e-01,1.799725e+00,3.217349e+00,2.722679e+01,3.246465e-01,7.678530e+02,1.371660e-01,1.566428e+03,9.058324e-02,-1.893996e+02,-2.283009e-01,1.703872e+03,6.526389e-02,1.181718e+03,5.324566e-02,-1.901480e+02,-2.126604e-01,2.688614e+03,6.048285e-02,9.358157e+02,2.891780e-01,-1.901156e+02,-2.134840e-01,-1.781844e+01,-3.288450e-01,2.663725e+01,2.926890e-01,5.313411e-02,2.000864e-01,-1.202519e-02,-8.851205e-01,8.842242e-02,3.204141e-01,2.668747e+01,2.801176e-01,1.178876e+01,4.355077e-01,1.430341e+01,6.619217e-01,-2.528565e+00,-2.155120e+00,-7.571116e+00,1.572946e+01,3.558280e-02,4.892941e-03,4.055991e-02,1.372998e+00,6.944445e-01,7.666666e-02,2.867442e-02,1.005000e+00,7.291948e-01,-4.345100e+01,1
